,Job Title,Client,Job Description,Location
46139,Senior Data Engineer,Coupang,"Experience in Stream-processing systems: Kafka, Storm, Spark-Streaming or equivalent is a plus.","Seattle, WA 98101"
46151,Data Engineer III (Corporate Data and Analytics),Premera Blue Cross,Advanced data processing programming skills across SQL-based and Hadoop-based technologies.,"Mountlake Terrace, WA 98043"
46159,Senior Java Data Engineer,INRIX,"Experience building and maintaining performant, fault-tolerant, scalable and distributed data and ETL pipelines.","Kirkland, WA 98033"
46183,Senior Data Engineer,Washington Federal,"Basic experience working with popular data discovery, analytics and BI software tools like Tableau, Qlik, PowerBI and others for semantic-layer-based data discovery.",
46188,Sr. Engineer - Data Platform,Porch,"Build out our software to allow automated analysis of our data - for example, funnel analysis and AB testing.","Seattle, WA"
46196,Sr. Engineer - Data Platform,Porch,Experience working in a fully virtualized cloud environment including cloud-based IaaS/SaaS/PaaS solutions.,"Seattle, WA"
46220,Systems Engineer IV (Data & Analytics Infrastructure),Premera Blue Cross,"Advanced scripting skills (such as PowerShell (preferred), Batch, Perl or Java)","Mountlake Terrace, WA 98043"
46231,Principal SW Engineer - Data,Gigamon,"Design, build, test and deploy scalable systems to store, process and retrieve high-rate event streams.","Seattle, WA"
46232,Principal SW Engineer - Data,Gigamon,"Build systems and processes for ETL, enrichment, alerting, and indexing high-rate event streams.","Seattle, WA"
46237,Sr Data Engineer - Architect,Amazon.com,Optimizing the performance of business-critical queries and dealing with ETL job-related issues,
46244,"Sr. Data Engineer, Alexa Music",Amazon.com,Design and implement a scalable and durable data model for Alexa Music-original datasets.,
46245,"Sr. Data Engineer, Alexa Music",Amazon.com,"Develop the end-to-end automation of data pipelines, from a raw log state to a readily-consumable dataset",
46275,Senior Software Development Engineer - Data Platform Team,Brightloom,Hands-on development of data pipelines and data infrastructure supporting product development and data scientists,"Seattle, WA"
46279,Senior Software Development Engineer - Data Platform Team,Brightloom,"Working knowledge of message queuing, stream processing, and highly scalable data stores","Seattle, WA"
46293,"Senior Software Engineer, Big Data Processing",SpaceCurve,"Experience with multiple database technologies (relational, EDW, NoSQL) and HA.","Seattle, WA"
46301,Senior Big Data Engineer (Data Platform),Coupang,"Prior experience in either AWS or Azure or Cloudera technologies, and any MPP/Cloud data warehouse solutions.","Seattle, WA 98101"
46310,"Principal Big Data Platform Engineer, Data Flow (JoinOCI-SDE)",Oracle,"Expert knowledge in Apache Spark – internals, security, tuning, optimization","Seattle, WA"
46327,"Principal Engineer – Marketing Technology, Data and Machine Learning",QVC,"An advanced working knowledge of a Cloud platform, such as AWS or Google Cloud","Seattle, WA 98121"
46331,Senior Software Engineer - Big Data Platform,Branch,"Architect, build real-time batch data pipelines and data aggregation systems to deliver quality real-time analytical reports for our internal and external customers.","Seattle, WA"
46342,"Senior Software Development Engineer, Big Data",Zillow Group,"Lead architecture, implementation, and operations of big data pipelines and tools for building high-quality data marts.","Seattle, WA 98101"
46343,"Senior Software Development Engineer, Big Data",Zillow Group,Empower Zillow with a world-class Batch Data Processing enabling partner teams to efficiently access data.,"Seattle, WA 98101"
46349,Software Development Engineer - Data and Machine Learning,Amazon.com,"Experience or familiarity with Data pipelines (Kinesis, Airflow, Redshift, Spark)",
46351,"AI/ML - Data Infrastructure Ingestion Platform Engineer, Siri Search & Knowledge Platform",Apple,"Experience with configuration management (Puppet, Chef, or Ansible) and/or infrastructure-as-code frameworks (Terraform, Pulumi)",
46363,Senior Software Engineer (Common Data Services),Coupang,Strong CI/CD experiences and be able to understand and implement the automatic deployment.,"Seattle, WA 98101"
46364,"Software Development Engineer – Big Data, AWS Elastic MapReduce (EMR)",Amazon.com,Designing and building the next-generation technologies that will make EMR the best environment to run large-scale data processing workloads.,
46368,"Principal Software Development Engineer, Batch Data Platform",Zillow Group,Empower Zillow with a world-class Batch Data Processing Platform enabling partner teams to efficiently and securely process Terabytes of data every day.,"Seattle, WA 98101"
46376,"Data Engineer, AWS Infrastructure",Amazon.com,Optimizing the performance of business-critical queries and dealing with ETL job related issues.,
46382,"Sr Data Engineer, Video Advertising",Amazon.com,"Serve as a technical lead on our most demanding, cross-functional projects and mentor a team of data engineers and junior machine learning scientists to deliver solutions to internal stakeholders including other modeling teams at Amazon.",
46386,"Sr Data Engineer, Video Advertising",Amazon.com,"Experience working with AWS Services, consuming, managing large scale datasets.",
46394,Data Engineer,Ascent Services Group,"Development of ETL data pipelines, from ingestion of data to consumption by business intelligence and advanced analytics teams.","Seattle, WA 98104"
46397,Data Engineer,Ascent Services Group,"Experience designing and implementing highly scalable, distributed application systems in a public cloud environment.","Seattle, WA 98104"
46427,Data Engineer II,TDS Telecom,"Create and maintain automated data pipelines to obtain and load data into object stores or relational databases from cloud-based, external, and internal sources.","Madison, WI 53717"
46441,Test Data Engineer (Open to Remote),American Family Insurance,Designs and writes automated tests. Develops automated test suites to ensure quality standards.,"Madison, WI"
46466,Test Data Engineer (Open to Remote),American Family Insurance,"Solid knowledge and understanding of system development methodologies. (e.g. Waterfall, Iterative, Agile.).","Madison, WI"
46473,Data Science Software Engineer,GlassDoor.com,"Experience with any data science tools such as R, SAS, or SPSS a plus. Experience with the HDFS/YARN/Spark and related tools a plus.",
46485,Data Platform Engineer,Skyline Technologies,"Installation, upgrade, configuration and administration with relevant versions of SQL Server.",Wisconsin
46492,Data Science Engineer,Breakthrough,Design requirement driven data models to support the enterprise product development and leverage a proprietary data lake structure.,"Green Bay, WI 54311"
46509,Data Science Engineer,Breakthrough,"Experience with modern CI/CD pipeline technologies involving git repositories, static code analysis, test-driven development etc.","Green Bay, WI 54311"
46510,Data Science Engineer,Breakthrough,"Experience with analytics tools such as Apache Beam, Spark, JupyterLab, etc.","Green Bay, WI 54311"
46511,Data Science Engineer,Breakthrough,"Experience with modern infrastructure as code technologies like Docker, Kubernetes, Terrraform, and Airflow.","Green Bay, WI 54311"
46512,Data Engineer,Northwestern Mutual,"Aide in the design, build, and support of new data pipelines to facilitate BI and Analytic deliverables within our team (e.g. ETL)","Milwaukee, WI"
46514,Data Engineer,Northwestern Mutual,Troubleshoot and maintain existing data and pipelines used to deliver solutions built by our team,"Milwaukee, WI"
46515,Data Engineer,Northwestern Mutual,Build reports \ dashboards for consumption within our team using BI tooling such as Tableau or Power BI,"Milwaukee, WI"
46521,Data Engineer II,Exact Sciences Corporation,"Develop and share knowledge of advanced reporting, analytics, and dashboarding tools, including Tableau.","Madison, WI 53719"
46534,Data Engineer II,Exact Sciences Corporation,"1+ year experience querying disparate data sources, such as relational structures, OLTP systems, and dimensional data models.","Madison, WI 53719"
46535,Data Engineer II,Exact Sciences Corporation,"1+ year experience working with SQL for data exploration, debugging, and performant data access.","Madison, WI 53719"
46555,Senior Data Integration Engineer,Syndigo,"Work with stakeholders to define and develop data ingest, validation, and transform pipelines",
46559,Senior Data Integration Engineer,Syndigo,"Demonstrated expertise in Scala (Object Oriented Programming) / Python (Scala preferred), SPARK SQL",
46561,Senior Data Integration Engineer,Syndigo,"Experience with ETL/ELT patterns, preferably using Azure Data Factory and Databricks jobs",
46566,Sr. Data Engineer,TekPartners,"Build data and analytics tools that will offer deeper insight into the pipeline, allowing for critical discoveries surrounding key metrics and customer activity.","Green Bay, WI 54301"
46588,"Professional, Data Engineer (ETL)",CoreLogic,"Experience with SQL Server Integration Services (SSIS), Informatica, or similar technologies.","Milwaukee, WI"
46591,"Professional, Data Engineer (ETL)",CoreLogic,Experience working with non-Microsoft SQL databases like Postgres and Oracle,"Milwaukee, WI"
46603,Data Engineer Manager,Northwestern Mutual,"Experience working with relational databases such as DB2 LUW, MySQL, Sybase, DB2 z/OS","Milwaukee, WI"
46612,Data Analytics BI Engineer,Skyline Technologies,"Experience working with relational databases, especially in Microsoft SQL Server",Wisconsin
46613,Data Analytics BI Engineer,Skyline Technologies,"Knowledge of data modeling, ETL technologies (T-SQL, SSIS) and data warehouse design theory (Kimball data modeling)",Wisconsin
46619,Data Analytics BI Engineer,Skyline Technologies,"Experience with Big Data BI solutions such as Azure Data Lake, Microsoft APS, Azure SQL DW, etc.",Wisconsin
46620,Data Analytics BI Engineer,Skyline Technologies,"Experience working with additional database types including Oracle, AS400, Hadoop",Wisconsin
46623,"Software Engineer, Big Data - Remote Opportunity Available",Kohl's,"Strong knowledge building development practices like CI/CD, Test Automation and cloud deployments",
46625,"Software Engineer, Big Data - Remote Opportunity Available",Kohl's,"Knowledge of Apache Airflow Developing DAG, Performance tuning of the DAGs and task implementation",
